#Frame                com          pep          pro         bind
      0.0100       2.7674       2.0616       2.7522       2.0836
      0.0200       2.7861       2.0948       2.7784       2.1414
      0.0300       2.7732       2.0634       2.7716       2.1016
      0.0400       2.6987       2.0798       2.6845       2.0254
      0.0500       2.5837       1.9345       2.5713       1.9644
      0.0600       2.6084       1.8358       2.6149       1.9081
      0.0700       2.6551       1.8169       2.6594       1.8801
      0.0800       2.7593       2.0195       2.7507       1.9936
      0.0900       2.7948       1.9556       2.8009       2.0090
      0.1000       2.7699       1.9771       2.7698       2.0612
      0.1100       2.7344       1.9241       2.7309       2.0407
      0.1200       2.7024       1.9709       2.6839       2.0718
      0.1300       2.7263       1.9333       2.7068       2.0028
      0.1400       2.7853       2.0112       2.7836       2.0899
      0.1500       2.7885       2.0534       2.7708       2.0839
      0.1600       2.7818       2.1849       2.7714       2.1346
      0.1700       2.7640       2.0724       2.7516       2.1076
      0.1800       2.8995       2.0977       2.8869       2.1577
      0.1900       2.8093       2.0680       2.8077       2.1094
      0.2000       2.8196       2.0549       2.8252       2.0744
      0.2100       2.8228       2.0318       2.8194       2.0862
      0.2200       2.9437       2.0287       2.9572       2.1528
      0.2300       2.9340       2.0468       2.9438       2.1399
      0.2400       2.9476       2.0408       2.9454       2.1406
      0.2500       2.7930       1.9434       2.7953       2.0941
      0.2600       2.7296       1.9879       2.7284       2.0133
      0.2700       2.8715       1.9555       2.8763       2.0830
      0.2800       2.8873       2.0018       2.8987       2.1603
      0.2900       2.9858       1.9700       2.9960       2.1686
      0.3000       2.8958       2.0741       2.8950       2.1153
      0.3100       2.8097       2.0961       2.7938       2.0909
      0.3200       2.7052       2.1525       2.6835       2.0778
      0.3300       2.7513       2.0288       2.7361       2.1054
      0.3400       2.7665       1.9650       2.7456       2.1057
      0.3500       2.8447       1.7891       2.8476       1.9860
      0.3600       2.8332       2.1479       2.8136       2.1632
      0.3700       2.7940       2.0369       2.7759       2.0648
      0.3800       2.7329       1.9313       2.7308       1.9827
      0.3900       2.6790       1.9789       2.6731       2.0029
      0.4000       2.7034       1.8651       2.7035       1.9983
      0.4100       2.7504       1.7976       2.7544       1.9692
      0.4200       2.8393       1.9036       2.8439       2.0653
      0.4300       2.9032       2.0044       2.9073       2.1910
      0.4400       2.8632       1.9223       2.8585       2.1168
      0.4500       2.9292       1.8903       2.9261       2.1138
      0.4600       2.9260       1.9541       2.9017       2.2080
      0.4700       2.7504       1.8199       2.7479       2.0283
      0.4800       2.6691       1.8882       2.6568       2.0032
      0.4900       2.6888       1.9605       2.6707       2.1249
      0.5000       2.6736       1.8222       2.6678       2.0286
      0.5100       2.5738       1.8457       2.5675       2.0138
      0.5200       2.6040       1.8188       2.5917       1.9704
      0.5300       2.6018       1.9148       2.5765       2.0390
      0.5400       2.5950       1.9054       2.5762       1.9923
      0.5500       2.6205       1.8301       2.6122       1.9638
      0.5600       2.6423       1.7867       2.6442       1.9931
      0.5700       2.6532       1.7913       2.6448       1.9817
      0.5800       2.6824       1.8672       2.6770       2.0107
      0.5900       2.6060       1.8117       2.5813       1.9164
      0.6000       2.6934       1.9021       2.6635       2.0013
      0.6100       2.6257       1.9048       2.6266       1.9995
      0.6200       2.6825       1.8442       2.6614       1.9962
      0.6300       2.5359       1.9771       2.5040       1.9522
      0.6400       2.5567       1.7799       2.5431       1.8510
      0.6500       2.5121       1.7644       2.4866       1.7882
      0.6600       2.5526       1.8953       2.5307       1.9148
      0.6700       2.5150       1.8527       2.4950       1.9451
      0.6800       2.5577       1.7942       2.5389       1.8833
      0.6900       2.5288       2.0574       2.5035       1.9705
      0.7000       2.6060       1.9661       2.5944       2.0242
      0.7100       2.6466       1.7681       2.6567       1.9234
      0.7200       2.4630       1.7431       2.4644       1.8316
      0.7300       2.6362       1.8323       2.6318       1.9384
      0.7400       2.5298       1.8045       2.5246       1.8879
      0.7500       2.5565       1.7772       2.5615       1.8302
